"VersionEffective","PartNumber","PROPERTY","ValuePrior","ValueCurrent","ChangeReason"
"2.79","LP285340-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285341-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285342-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285343-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285344-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285345-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285346-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285347-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285348-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285349-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285350-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285351-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285352-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285353-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285354-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285355-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285356-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285357-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285358-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285359-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285360-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285362-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285363-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285364-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285365-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285366-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285367-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285368-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285369-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285370-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285371-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285372-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285373-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285374-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285378-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285379-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285380-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285381-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285382-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285383-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285385-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285386-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285387-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285388-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285389-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285390-3","STATUS","ACTIVE","INACTIVE",""
